	u1	u2
DLBCL11534	2.0533772	8.335624
DLBCL10874	3.6840177	3.5082645
DLBCL11431	1.4958925	8.152645
DLBCL_C_D_PAIR13	1.4531391	8.140617
DLBCL10915	4.5897493	6.253367
DFCIDL004_DT	5.9904556	7.2040257
DLBCL_RICOVER_111	5.624898	7.035614
DLBCL_BWH_DLBCL64	3.099973	4.2529244
DLBCL_C_D_1148_NULLPAIR	4.7493544	9.223598
DLBCL_LS1304	1.0876126	7.941857
DLBCL_RICOVER_787	2.936959	7.100788
DLBCL_LS2325	1.5645019	4.27519
DLBCL10513	3.0555575	8.383623
DLBCL_RICOVER_711	3.2691865	4.162296
DLBCL10986	3.4757886	6.348299
DLBCL10858	8.222661	5.7918
DLBCL10878	5.573155	6.989399
DLBCL10894	2.7590413	4.4527717
DLBCL_C_D_1159_NULLPAIR	4.2146707	8.537277
DLBCL10846	3.9698617	5.5521607
DLBCL10491	3.1304288	4.1666155
DLBCL10867	6.6260066	4.958786
DLBCL11652	2.9613779	6.077216
DLBCL11491	4.368668	8.222264
DLBCL10914	2.3841763	7.0503545
DLBCL10891	6.9309635	7.022522
DLBCL11479	2.0743172	6.778309
DLBCL_LS951	3.33304	6.7368145
DLBCL_RICOVER_478	3.5577397	4.7982726
DLBCL10981	3.5661654	3.5907953
DLBCL_MAYO_DLBCL_3653	2.40489	7.7264414
DLBCL10833	7.929356	5.894258
DLBCL_RICOVER_985	3.6446564	9.55336
DLBCL_MC_F606_DMJ	0.7403317	4.593243
DLBCL10868	8.125891	5.7122374
DLBC_FF_8046_TP_NB	1.0652325	7.826895
DLBCL10456	4.816866	9.729487
DLBCL_RICOVER_1046	1.6023932	4.858946
DLBCL11539	3.7824435	8.087507
DLBCL10536	3.3647022	5.7260427
DLBCL_MC_F815_BAT	1.6111298	4.5923977
DLBCL10521	5.474642	4.706658
DLBCL10547	4.9453926	9.649129
DLBCL_LS1395	0.7992774	4.883638
DLBCL10879	6.911218	7.1412835
DLBCL10836	8.16125	5.7522383
DLBCL_RICOVER_1045	3.5952585	7.672919
DLBCL_RICOVER_1287	4.7004867	5.9803443
DLBCL10835	7.7587895	4.872073
DLBCL10866	8.21014	5.7704053
DLBCL_RICOVER_950	3.1904716	8.944809
DLBCL11481	2.5246563	8.007624
DLBCL10544	5.327559	9.6664
DLBCL11662	4.364454	8.199901
DLBCL11564	4.6635985	9.77092
DLBCL11459	4.432365	9.419266
DLBCL10900	8.299573	5.7035217
DLBCL11461	3.3653793	7.720335
DLBCL11429	5.392369	8.303323
DLBCL11507	2.981019	2.1368384
DLBCL10466	0.9550029	4.901249
DLBCL11537	5.808151	8.056035
DLBCL11520	5.440249	8.110841
DLBCL10494	2.3671722	4.7774696
DLBCL10950	5.549837	7.4707336
DLBCL11462	3.8868856	7.6870494
DLBCL10912	4.625204	7.4441137
DLBC_FF_A7CQ_TP_NB	6.689661	5.903739
DLBCL10992	8.167033	5.6671834
DLBCL11661	3.0240579	4.15942
DLBCL_LS1921	2.3993886	2.8606524
DLBCL10555	0.87291205	4.7951818
DLBCL11476	4.7901797	5.8103967
DLBCL_C_D_1129_NULLPAIR	4.480084	7.739697
DLBCL11672	0.41620788	5.459097
DLBCL10515	3.835556	7.8850937
DLBCL10945	5.6075406	8.473118
DLBCL_RICOVER_829	5.19709	7.415164
DLBCL_LS297	0.6808826	5.5093255
DLBCL_RICOVER_417	6.1359205	5.54282
DLBCL11558	0.7947703	4.824483
DLBCL11685	0.5512022	5.6819897
DLBCL10847	5.0298758	5.198328
DLBCL_C_D_1130_NULLPAIR	4.862754	7.657674
DLBCL_RICOVER_440	2.2515903	2.7894344
DLBCL_MC_F500_ECU	3.5442545	5.354368
DLBCL_C_D_1114_NULLPAIR	3.8667457	7.2448463
DLBCL10887	6.2542105	5.7366805
DLBCL10529	5.688619	4.918986
DLBCL10997	5.3628354	7.814563
DLBCL11680	0.9652017	5.5847125
DLBCL_DFCI_DLBCL_GOE16	0.53758	5.672715
DLBCL11428	1.2078445	4.9069147
DLBCL10550	6.0505443	5.4764047
DLBCL_LS3200	5.4624977	4.648171
DLBCL_C_D_1108_NULLPAIR	3.1519198	2.5863192
DLBCL_MC_F089_HCZ	2.529846	3.6151257
DLBCL10853	7.3108916	5.8776655
DLBCL10510	3.318092	4.5736847
DLBCL_MC_F729_MAN	3.571562	4.5860705
DLBCL_RICOVER_449	6.5994906	6.5951705
DLBCL10983	3.8101149	3.010616
DLBCL_MC_F519_ALT	5.7651863	5.120366
DLBCL10461	3.1076803	2.5769515
DLBCL_C_D_1163_NULLPAIR	7.992833	5.80467
DLBCL11203	3.0034194	2.9038942
DLBCL_LS1065	2.9043298	4.743566
DLBCL_LS3749	2.4773257	3.0956054
DLBCL10911	2.9297674	4.879284
DLBCL11565	2.622538	2.8349793
DLBCL_C_D_1136_NULLPAIR	2.4696643	2.7827673
DLBCL_C_D_1117_NULLPAIR	3.3101387	3.8772998
DLBCL10553	6.229889	6.2541833
DLBCL10856	6.002055	6.6064286
DLBCL11202	2.3862572	6.7692003
DLBCL_RICOVER_314	4.1621146	5.3480506
DLBCL10962	3.9781168	5.3133597
DLBC_FF_8042_TP_NB	4.6049914	4.5959835
DLBCL11536	3.577158	3.617553
DLBCL10503	2.3941212	5.7018394
DLBCL11519	3.2522814	7.707475
DLBCL_RICOVER_978	4.6109705	7.1658554
DLBCL11576	3.4964533	9.484124
DLBCL11478	2.802549	8.175393
DLBCL10936	1.5459597	7.9357014
DLBCL_RICOVER_1278	7.9920554	5.609026
DLBCL10974	3.5964675	8.737897
DLBCL10921	5.1284213	4.562094
DLBCL_RICOVER_910	1.7361605	7.8649507
DLBCL_RICOVER_850	6.859179	4.9938283
DLBCL11528	2.296754	6.654158
DLBCL11590	2.9118087	8.31832
DLBCL_RICOVER_1018	3.9847	3.6061077
DLBCL_LS2208	1.1548164	7.9801407
DLBCL11488	5.6912003	8.216943
DLBCL_LS3499	2.5269935	7.4209776
DLBCL11204	3.011855	6.111805
DLBCL11436	1.8941464	7.623995
DLBCL10512	2.3292625	5.6326203
DLBCL11515	3.7817435	6.0457873
DLBCL11496	3.3603094	8.124734
DLBCL_DFCI_DLBCL_GOE05	4.021742	5.364929
DLBCL10552	4.115656	9.446256
DLBCL_RICOVER_1106	6.0521016	4.8105984
DLBCL11470	5.2184553	8.916433
DLBCL_C_D_1156_NULLPAIR	1.4036204	8.083758
DLBCL11430	4.3953395	8.528598
DLBCL_C_D_1118_NULLPAIR	2.463205	3.3944902
DLBCL10994	2.5173378	7.682495
DLBCL10852	7.488414	5.82626
DLBCL10909	3.6949296	8.956081
DLBCL10564	1.9886638	4.5070605
DLBCL_LS762	1.725726	8.067044
DLBCL11450	7.670329	4.835474
DLBCL10871	2.664921	6.2586308
DLBCL10782	5.0190434	9.519733
DLBCL_RICOVER_945	4.696257	7.308779
DLBCL11353	6.145344	4.97221
DLBCL10844	3.7995727	7.2644544
DLBCL10781	7.0554056	5.90445
DLBCL10910	2.4785879	8.196822
DLBCL10565	0.30292994	5.5769653
DLBCL10517	1.8314627	5.2671723
DLBCL10993	3.2296937	8.202478
DLBCL_RICOVER_274	6.2443857	6.083636
DLBCL_LS4616	1.0464154	4.8828497
DLBCL11437	3.9755464	9.179115
DLBCL_RICOVER_1289	6.756388	6.4054976
DLBCL11671	3.2053869	7.729659
DLBCL11658	4.6467786	8.975682
DLBCL_C_D_1144_NULLPAIR	2.713363	7.5241237
DLBCL10927	4.7090235	9.316197
DLBCL_LS2357	4.4002004	9.598726
DLBCL10931	5.560501	8.349851
DLBCL10895	5.4592075	4.717181
DLBCL11456	1.9393356	6.5978355
DLBCL10472	1.381799	5.8636327
DLBCL10885	3.794422	3.1383092
DLBCL_RICOVER_221	5.792488	5.039973
DLBCL11195	6.5831137	5.5435033
DLBCL_RICOVER_577	1.520017	5.402661
DLBCL10549	2.430479	4.7784348
DLBCL10890	6.078587	5.5689654
DLBCL_LS4054	1.8397624	6.9431877
DLBCL11566	0.7560273	4.8536053
DLBCL11667	1.3508526	5.396336
DLBCL11673	1.9744154	6.653122
DLBCL10465	1.3057233	4.92414
DLBCL_LS2245	2.436401	3.3776464
DLBCL_RICOVER_533	2.5000842	3.291542
DLBCL11656	0.5620972	5.6796737
DLBCL11670	1.1251007	5.336748
DLBCL_LS2599	1.2060465	4.5345316
DLBCL_RICOVER_451	3.36205	6.876516
DLBCL10535	4.8193254	6.0785475
DLBCL_RICOVER_467	3.2554674	2.620702
DLBCL10935	3.620334	7.3203382
DLBCL_RICOVER_408	2.6454298	4.761562
DLBCL_RICOVER_977	5.6146293	8.209702
DLBCL10884	4.6104803	7.8001966
DLBCL_LS3245	2.4634964	2.1775053
DLBCL_C_D_1128_NULLPAIR	2.5735874	7.6039124
DLBCL10525	4.8859735	7.948804
DLBCL11500	6.5402026	6.4761696
DLBCL10530	7.8216968	4.952235
DLBCL10495	3.535546	7.288116
DLBCL10880	5.0849943	5.7313094
DLBCL10922	3.0773807	5.9579554
DLBCL_C_D_1125_NULLPAIR	6.2489862	4.874292
DLBCL_LS1757	4.637047	7.6537075
DLBCL_DFCI_DLBCL_GOE07	3.5407288	5.5301504
DLBCL10951	5.634252	4.901707
DLBCL10903	2.8245656	5.7104306
DLBCL10862	6.2809176	5.5343943
DLBC_FF_8043_TP_NB	3.1073318	4.7549696
DLBCL_RICOVER_1248	7.6221185	4.8285875
DLBCL10883	6.823673	6.4519944
DLBCL10452	2.8162425	3.7001524
DLBCL10534	7.612291	5.9012723
DLBCL_LS2089	2.696184	2.7290084
DLBCL11188	3.2253792	5.2357244
DLBCL_LS146	2.7031407	2.1229765
DLBCL11449	4.124911	5.30825
DLBCL_RICOVER_773	5.2530303	5.8613048
DLBCL10969	2.3399024	5.7544374
DLBCL11433	6.646187	7.157212
DLBCL10539	4.182135	5.2291527
DLBCL_RICOVER_506	3.8979428	2.9952648
DLBCL10906	4.22169	4.5328484
DLBCL10486	4.2464943	5.883983
DLBCL_RICOVER_216	1.6934484	8.365278
DLBCL11681	4.937932	8.161736
DLBCL_RICOVER_522	0.91259545	4.745356
DLBCL_C_D_1112_NULLPAIR	3.551187	5.648103
DLBCL10482	4.4421544	7.489379
DLBCL11538	3.1135821	9.003471
DLBCL_LS2154	1.6617221	7.6695137
DLBCL_MC_F218_RAP	3.1869988	8.375985
DLBCL_C_D_1119_NULLPAIR	2.4663267	3.3142352
DLBCL_RICOVER_720	4.1727524	3.4837992
DLBCL10985	3.1899033	6.097266
DLBCL_LS155	0.24814008	5.6962204
DLBCL10957	3.7773657	7.840183
DLBC_FF_A7CX_TP_NB	3.6087158	7.944075
DLBCL_LS2590	6.9836955	7.0498075
DLBCL10965	5.027471	9.130941
DLBCL11441	3.828135	8.869964
DLBCL10908	1.6850401	7.9519343
DLBCL10999	6.8855352	7.105802
DLBCL11206	3.94525	4.5617714
DLBCL11480	2.6504493	7.860616
DLBCL_C_D_1126_NULLPAIR	3.1114414	5.8367014
DLBCL11003	3.7696722	4.7439423
DLBCL_MC_F064AB	0.24833411	5.6023192
DLBCL11447	7.2564855	6.1398363
DLBCL11457	5.3806367	8.731639
DLBCL10972	4.387531	7.4343286
DLBCL11474	4.38393	8.281873
DLBCL_RICOVER_956	4.0794716	5.4681096
DLBCL10780	2.2296262	4.004635
DLBC_FF_8062_TP_NB	3.3007987	9.298885
DLBCL10863	6.800654	6.2533264
DLBCL_RICOVER_1060	4.0017576	5.7293987
DLBCL11486	5.585427	7.97976
DLBCL10451	3.393464	6.9948497
DLBCL10490	5.293659	7.516965
DLBCL11002	3.1448393	7.651082
DLBCL_RICOVER_496	1.6973946	7.2037516
DLBCL10532	6.505153	6.7830424
DLBCL_LS1668	3.2103772	3.631799
DLBCL_MC_F307_JPS	1.5552143	8.137587
DLBCL11205	2.4862437	7.0757527
DLBCL_C_D_1109_NULLPAIR	4.9447074	8.469299
DLBCL11675	6.938272	7.1487713
DLBCL10980	4.2325344	5.205684
DLBCL_RICOVER_299	2.3710296	2.1208649
DLBCL11527	4.8448763	9.52191
DLBCL10934	4.2437034	3.5921633
DLBCL_RICOVER_701	3.911629	9.529668
DLBCL_RICOVER_473	3.2603126	6.2802863
DLBCL_MC_F139_LJF	4.749471	9.716699
DLBCL11504	5.7530794	7.1390357
DLBCL11460	4.15132	9.519852
DLBCL_RICOVER_1061	4.358982	9.4115095
DLBCL10968	5.502967	8.518983
DLBCL11472	4.7125616	8.569428
DLBCL_C_D_1105_NULLPAIR	2.819047	5.056455
DLBCL10523	1.4035714	5.86472
DLBCL11458	1.365513	5.002851
DLBCL_RICOVER_1165	3.4080915	6.017357
DLBCL10498	0.889779	5.5557323
DLBCL11435	5.5134263	8.057456
DLBCL10857	6.5360403	6.675326
DLBCL10459	1.2399094	4.8892884
DLBCL11484	1.9223294	6.8906283
DLBCL_RICOVER_1032	7.5747385	4.659448
DLBCL11512	5.0321574	9.357155
DLBCL_MC_F262_WLC	4.310957	7.906857
DLBCL_RICOVER_744	0.75990236	5.462418
DLBCL10963	4.5817657	5.1726913
DLBCL_C_D_1133_NULLPAIR	0.7260339	4.558232
DLBCL_C_D_1113_NULLPAIR	2.073114	8.492618
DLBCL10458	4.9358325	7.4637513
DLBCL_LS1098	1.0405198	5.4100842
DLBCL10954	3.4113986	4.5715284
DLBCL10889	6.884165	6.556855
DLBCL11526	1.4197986	5.847596
DLBCL_C_D_1141_NULLPAIR	1.2747989	4.762263
DLBCL10902	6.146871	6.5757174
DLBCL_LS378	3.4875197	7.129175
DLBCL10925	5.973891	5.6515846
DLBCL10834	2.4436457	2.709282
DLBCL10860	6.505156	5.5231786
DLBCL_RICOVER_712	5.7502055	5.1302176
DLBCL10502	2.4736416	3.8582568
DLBCL10898	5.254444	5.817485
DLBCL_MC_F349_BJJ	0.6584604	5.49093
DLBCL_RICOVER_1210	2.1863165	4.8622475
DLBCL11666	1.228357	5.1933093
DLBCL10460	2.5882807	5.0972123
DLBCL10842	6.7857237	5.772518
DLBCL10930	6.490134	5.439058
DLBCL11000	6.1725626	5.430037
DLBCL10901	7.3881874	6.1313486
DLBCL_RICOVER_253	2.5322182	2.6801302
DLBCL_RICOVER_174	2.4376907	2.7201595
DLBCL10990	5.492372	4.9133415
DLBCL10977	6.0583444	5.951491
DLBCL_RICOVER_1192	6.057281	5.019413
DLBCL_C_D_1131_NULLPAIR	2.5370378	3.7057736
DLBCL10483	2.9264216	2.4035687
DLBCL10850	2.98239	2.20096
DLBCL_MC_F927_JHS	1.5826356	8.252136
DLBCL11467	1.6439247	8.193931
DLBCL11483	1.57031	8.041866
DLBCL11657	1.8840358	5.625811
DLBCL11455	3.2538953	8.787346
DLBCL_LS2328	1.8296807	4.2742295
DLBCL11678	4.6661367	9.116864
DLBCL10454	2.3237352	5.862573
DLBCL_MAYO_DLBCL_234	4.113363	8.296773
DLBCL10501	2.5437236	1.9508414
DLBCL11501	2.860234	8.016408
DLBCL_LS4619	5.130052	4.700242
DLBCL_RICOVER_258	2.9219487	8.209813
DLBCL_RICOVER_1190	4.385633	5.931632
DLBCL10984	6.47962	4.7444253
DLBCL10450	6.8080597	5.878591
DLBCL11664	3.000499	2.2145267
DFCIDL009_DT	3.4845138	5.56019
DLBCL_C_D_1166_NULLPAIR	4.7300467	4.26719
